,price_eur_mwh,gen_solar_mw,gen_wind_onshore_mw,fc_solar_mw,fc_wind_onshore_mw,flow_lt_lv_mw,flow_lv_lt_mw,flow_lt_pl_mw,flow_pl_lt_mw,flow_lt_se_mw,flow_se_lt_mw
2020-01-01 00:00:00+02:00,,,,,,0.0,196.5,482.16,0.0,0.0,43.75
2020-01-01 01:00:00+02:00,28.78,0.0,241.22,0.0,262.0,21.0,0.0,400.68,0.0,0.0,292.62
2020-01-01 02:00:00+02:00,28.45,0.0,261.6,0.0,236.0,0.0,44.0,400.73,0.0,0.0,215.43
2020-01-01 03:00:00+02:00,27.9,0.0,248.42,0.0,227.0,124.0,0.0,399.48,0.0,0.0,455.0
2020-01-01 04:00:00+02:00,27.52,0.0,219.89,0.0,219.0,185.5,0.0,260.73,0.0,0.0,364.55
2020-01-01 05:00:00+02:00,27.54,0.0,228.64,0.0,211.0,233.0,0.0,298.39,0.0,0.0,590.96
2020-01-01 06:00:00+02:00,26.55,0.0,250.34,0.0,212.0,207.0,0.0,298.3,0.0,0.0,533.69
2020-01-01 07:00:00+02:00,25.83,0.0,277.91,0.0,214.0,0.0,28.0,301.44,0.0,0.0,265.29
2020-01-01 08:00:00+02:00,25.07,0.0,284.4,0.0,222.0,0.0,199.5,483.42,0.0,0.0,325.04
2020-01-01 09:00:00+02:00,25.65,2.0,285.88,4.0,238.0,0.0,229.5,483.67,0.0,0.0,303.14
2020-01-01 10:00:00+02:00,26.15,2.0,308.97,10.0,266.0,0.0,276.0,483.38,0.0,0.0,190.64
2020-01-01 11:00:00+02:00,26.77,6.78,327.84,16.0,287.0,0.0,293.0,483.5,0.0,0.0,192.97
2020-01-01 12:00:00+02:00,27.4,7.2,344.48,16.0,301.0,0.0,263.0,483.45,0.0,0.0,240.45
2020-01-01 13:00:00+02:00,28.08,6.52,348.93,14.0,311.0,0.0,218.5,483.46,0.0,0.0,295.25
2020-01-01 14:00:00+02:00,28.69,6.02,351.29,9.0,323.0,0.0,226.5,476.82,0.0,0.0,252.55
2020-01-01 15:00:00+02:00,29.37,2.0,350.94,2.0,336.0,0.0,196.5,442.45,0.0,0.0,252.62
2020-01-01 16:00:00+02:00,29.97,1.0,371.64,0.0,350.0,0.0,205.5,483.3,0.0,0.0,268.28
2020-01-01 17:00:00+02:00,30.46,0.0,396.64,0.0,360.0,0.0,166.5,483.41,0.0,0.0,320.43
2020-01-01 18:00:00+02:00,30.39,0.0,399.39,0.0,371.0,0.0,192.5,484.09,0.0,0.0,310.52
2020-01-01 19:00:00+02:00,30.06,0.0,396.11,0.0,380.0,0.0,190.5,484.04,0.0,0.0,259.73
2020-01-01 20:00:00+02:00,29.38,0.0,380.43,0.0,387.0,0.0,9.5,484.08,0.0,0.0,675.87
2020-01-01 21:00:00+02:00,27.65,0.0,381.88,0.0,393.0,0.0,11.5,482.96,0.0,0.0,605.24
2020-01-01 22:00:00+02:00,27.33,0.0,386.22,0.0,400.0,152.5,0.0,405.27,0.0,0.0,568.94
2020-01-01 23:00:00+02:00,25.88,0.0,386.82,0.0,405.0,16.5,0.0,482.46,0.0,0.0,1.26
2020-01-02 00:00:00+02:00,24.81,0.0,388.72,0.0,408.0,220.5,0.0,333.81,0.0,0.0,552.62
2020-01-02 01:00:00+02:00,12.07,0.0,392.69,0.0,379.0,145.0,0.0,200.25,0.0,0.0,198.17
2020-01-02 02:00:00+02:00,13.13,0.0,422.61,0.0,376.0,92.5,0.0,200.19,0.0,0.0,92.91
2020-01-02 03:00:00+02:00,19.07,0.0,417.61,0.0,378.0,104.5,0.0,54.07,0.0,0.0,102.76
2020-01-02 04:00:00+02:00,21.12,0.0,424.04,0.0,383.0,113.0,0.0,79.01,0.0,0.0,186.63
2020-01-02 05:00:00+02:00,24.29,0.0,419.48,0.0,384.0,197.5,0.0,82.9,0.0,0.0,325.33
2020-01-02 06:00:00+02:00,26.27,0.0,404.51,0.0,379.0,248.0,0.0,200.4,0.0,0.0,565.41
2020-01-02 07:00:00+02:00,27.74,0.0,398.92,0.0,377.0,232.5,0.0,118.62,0.0,0.0,636.32
2020-01-02 08:00:00+02:00,28.39,0.0,346.89,0.0,377.0,0.0,339.5,475.04,0.0,0.0,70.39
2020-01-02 09:00:00+02:00,29.37,1.0,327.76,2.0,377.0,0.0,475.5,484.64,0.0,0.0,28.79
2020-01-02 10:00:00+02:00,29.95,2.0,336.55,6.0,375.0,0.0,401.5,484.82,0.0,0.0,150.08
2020-01-02 11:00:00+02:00,29.91,6.05,316.91,10.0,369.0,0.0,348.5,484.8,0.0,0.0,205.18
2020-01-02 12:00:00+02:00,29.96,6.88,305.21,10.0,361.0,0.0,373.0,484.7,0.0,0.0,196.17
2020-01-02 13:00:00+02:00,29.94,6.45,318.24,10.0,349.0,0.0,340.5,484.62,0.0,0.0,224.25
2020-01-02 14:00:00+02:00,29.94,6.57,329.77,6.0,338.0,0.0,312.0,484.74,0.0,0.0,233.73
2020-01-02 15:00:00+02:00,30.18,2.0,337.23,2.0,327.0,0.0,302.5,484.87,0.0,0.0,289.43
2020-01-02 16:00:00+02:00,30.96,1.0,347.56,0.0,318.0,0.0,247.0,484.87,0.0,0.0,439.97
2020-01-02 17:00:00+02:00,31.2,0.0,334.19,0.0,316.0,0.0,335.5,484.82,0.0,0.0,357.77
2020-01-02 18:00:00+02:00,30.98,0.0,314.58,0.0,317.0,0.0,297.5,484.78,0.0,0.0,339.61
2020-01-02 19:00:00+02:00,30.35,0.0,284.89,0.0,315.0,0.0,325.5,484.84,0.0,0.0,238.17
2020-01-02 20:00:00+02:00,29.27,0.0,299.23,0.0,304.0,0.0,373.0,484.86,0.0,0.0,92.69
2020-01-02 21:00:00+02:00,28.17,0.0,342.03,0.0,292.0,0.0,393.0,483.94,0.0,31.35,0.0
2020-01-02 22:00:00+02:00,28.02,0.0,357.66,0.0,289.0,0.0,399.0,484.65,0.0,150.48,0.0
2020-01-02 23:00:00+02:00,27.69,0.0,282.73,0.0,289.0,0.0,337.0,484.97,0.0,0.0,40.06
2020-01-03 00:00:00+02:00,24.39,0.0,285.51,0.0,210.0,0.0,141.5,483.22,0.0,0.0,273.99
2020-01-03 01:00:00+02:00,18.93,0.0,310.35,0.0,291.0,116.0,0.0,300.19,0.0,0.0,711.39
2020-01-03 02:00:00+02:00,9.98,0.0,306.72,0.0,293.0,43.5,0.0,353.91,0.0,0.0,731.66
2020-01-03 03:00:00+02:00,1.53,0.0,287.1,0.0,296.0,148.0,0.0,242.16,0.0,0.0,731.76
2020-01-03 04:00:00+02:00,0.14,0.0,318.65,0.0,299.0,177.5,0.0,1.59,49.13,0.0,732.06
2020-01-03 05:00:00+02:00,0.85,0.0,363.88,0.0,305.0,199.0,0.0,0.95,135.38,0.0,732.11
2020-01-03 06:00:00+02:00,9.92,0.0,356.0,0.0,316.0,99.0,0.0,252.35,0.0,0.0,732.1
2020-01-03 07:00:00+02:00,30.01,0.0,354.6,0.0,320.0,237.5,0.0,2.72,46.9,0.0,732.11
2020-01-03 08:00:00+02:00,38.89,0.0,360.17,0.0,321.0,0.0,62.5,247.75,1.3,0.0,732.06
2020-01-03 09:00:00+02:00,28.12,2.0,341.26,6.0,325.0,0.0,206.0,482.91,0.0,0.0,636.15
2020-01-03 10:00:00+02:00,28.58,2.0,355.06,13.0,333.0,0.0,221.0,485.03,0.0,0.0,581.26
2020-01-03 11:00:00+02:00,30.04,7.11,336.35,20.0,340.0,0.0,236.5,485.15,0.0,0.0,729.59
2020-01-03 12:00:00+02:00,30.02,21.65,335.8,19.0,340.0,0.0,232.0,485.0,0.0,0.0,732.3
2020-01-03 13:00:00+02:00,30.03,6.81,329.02,16.0,346.0,0.0,220.5,485.05,0.0,0.0,730.63
2020-01-03 14:00:00+02:00,30.02,5.52,385.82,11.0,351.0,0.0,214.0,485.05,0.0,0.0,641.6
2020-01-03 15:00:00+02:00,28.96,2.0,408.83,3.0,364.0,0.0,166.5,485.07,0.0,0.0,563.62
2020-01-03 16:00:00+02:00,29.86,1.0,415.34,0.0,371.0,0.0,108.5,485.0,0.0,0.0,677.3
2020-01-03 17:00:00+02:00,30.15,0.0,441.94,0.0,380.0,0.0,134.0,484.9,0.0,0.0,641.52
2020-01-03 18:00:00+02:00,30.07,0.0,454.66,0.0,389.0,0.0,148.5,484.72,0.0,0.0,566.11
2020-01-03 19:00:00+02:00,29.54,0.0,428.79,0.0,394.0,0.0,182.5,484.93,0.0,0.0,462.78
2020-01-03 20:00:00+02:00,29.11,0.0,375.34,0.0,390.0,0.0,218.0,485.03,0.0,0.0,519.06
2020-01-03 21:00:00+02:00,36.76,0.0,352.7,0.0,375.0,0.0,104.0,482.07,0.0,0.0,723.59
2020-01-03 22:00:00+02:00,27.03,0.0,326.7,0.0,359.0,0.0,15.5,125.5,0.0,0.0,533.31
2020-01-03 23:00:00+02:00,25.7,0.0,273.99,0.0,342.0,0.0,68.5,187.34,0.0,0.0,659.15
2020-01-04 00:00:00+02:00,22.04,0.0,282.29,0.0,321.0,75.5,0.0,0.33,0.0,0.0,601.29
2020-01-04 01:00:00+02:00,21.73,0.0,294.11,0.0,323.0,27.5,0.0,129.5,0.0,0.0,718.3
2020-01-04 02:00:00+02:00,15.95,0.0,277.99,0.0,341.0,52.0,0.0,1.74,0.0,0.0,732.23
2020-01-04 03:00:00+02:00,16.23,0.0,346.67,0.0,361.0,38.5,0.0,0.0,0.0,0.0,732.31
2020-01-04 04:00:00+02:00,20.0,0.0,414.96,0.0,381.0,27.5,0.0,0.0,131.55,0.0,732.47
2020-01-04 05:00:00+02:00,4.04,0.0,435.76,0.0,400.0,29.5,0.0,0.53,115.83,0.0,732.47
2020-01-04 06:00:00+02:00,4.03,0.0,453.04,0.0,418.0,17.0,0.0,0.0,1.67,0.0,706.31
2020-01-04 07:00:00+02:00,4.04,0.0,473.07,0.0,434.0,159.5,0.0,2.03,0.0,0.0,723.82
2020-01-04 08:00:00+02:00,19.07,0.0,464.64,0.0,449.0,0.0,44.0,258.81,0.0,0.0,545.16
2020-01-04 09:00:00+02:00,17.49,1.0,474.34,2.0,456.0,0.0,121.0,442.95,0.0,0.0,671.22
2020-01-04 10:00:00+02:00,24.18,1.0,453.75,4.0,454.0,0.0,70.0,355.25,0.0,0.0,731.23
2020-01-04 11:00:00+02:00,24.94,6.03,445.46,8.0,450.0,0.0,113.0,211.16,0.0,0.0,581.46
2020-01-04 12:00:00+02:00,25.11,5.76,430.43,7.0,439.0,0.0,75.5,98.33,0.0,0.0,608.1
2020-01-04 13:00:00+02:00,24.94,5.86,419.43,6.0,419.0,0.0,16.0,90.61,0.0,0.0,726.32
2020-01-04 14:00:00+02:00,29.8,6.16,330.5,5.0,392.0,0.0,200.0,322.61,0.0,0.0,732.47
2020-01-04 15:00:00+02:00,25.25,2.0,213.93,1.0,356.0,0.0,168.0,222.1,0.0,0.0,732.78
2020-01-04 16:00:00+02:00,43.14,1.0,232.13,0.0,319.0,0.0,149.0,167.41,0.0,0.0,732.52
2020-01-04 17:00:00+02:00,41.1,0.0,215.72,0.0,295.0,0.0,176.0,84.01,0.0,0.0,732.36
2020-01-04 18:00:00+02:00,38.0,0.0,188.74,0.0,286.0,0.0,146.0,127.58,0.0,0.0,732.52
2020-01-04 19:00:00+02:00,37.96,0.0,159.27,0.0,285.0,0.0,158.5,150.19,0.0,0.0,732.5
2020-01-04 20:00:00+02:00,29.85,0.0,173.32,0.0,288.0,0.0,160.0,273.28,0.0,0.0,732.44
2020-01-04 21:00:00+02:00,27.71,0.0,235.72,0.0,294.0,0.0,198.5,6.51,0.0,0.0,421.64
2020-01-04 22:00:00+02:00,27.4,0.0,260.17,0.0,301.0,0.0,50.5,396.68,0.0,0.0,689.27
2020-01-04 23:00:00+02:00,27.37,0.0,236.01,0.0,304.0,0.0,109.5,171.2,0.0,0.0,449.74
2020-01-05 00:00:00+02:00,25.77,0.0,271.63,0.0,307.0,0.0,499.5,483.65,0.0,69.95,0.0
2020-01-05 01:00:00+02:00,26.65,0.0,286.25,0.0,308.0,58.5,0.0,161.89,0.0,0.0,368.95
2020-01-05 02:00:00+02:00,27.13,0.0,319.04,0.0,327.0,2.5,0.0,121.19,0.8,0.0,292.1
2020-01-05 03:00:00+02:00,27.11,0.0,311.56,0.0,341.0,0.0,18.5,0.0,50.61,0.0,79.53
2020-01-05 04:00:00+02:00,27.42,0.0,307.51,0.0,343.0,0.0,18.0,0.0,128.89,0.0,10.19
2020-01-05 05:00:00+02:00,28.06,0.0,307.13,0.0,338.0,0.0,65.0,0.0,149.12,0.0,54.63
2020-01-05 06:00:00+02:00,28.85,0.0,232.91,0.0,320.0,0.0,313.0,0.0,1.98,0.0,8.8
2020-01-05 07:00:00+02:00,29.26,0.0,199.94,0.0,302.0,0.0,292.5,0.0,0.0,0.0,80.52
2020-01-05 08:00:00+02:00,29.98,0.0,202.51,0.0,282.0,0.0,263.0,0.0,0.0,0.0,222.59
2020-01-05 09:00:00+02:00,31.06,2.0,189.3,4.0,261.0,0.0,422.0,1.21,0.0,0.0,177.89
2020-01-05 10:00:00+02:00,31.18,2.0,155.18,9.0,241.0,0.0,295.5,174.68,0.0,0.0,523.79
2020-01-05 11:00:00+02:00,31.6,6.77,130.82,14.0,225.0,0.0,233.5,215.31,0.0,0.0,717.85
2020-01-05 12:00:00+02:00,37.14,7.69,99.0,16.0,204.0,0.0,342.0,330.69,0.0,0.0,626.02
2020-01-05 13:00:00+02:00,37.71,7.67,106.37,15.0,182.0,0.0,357.5,441.26,0.0,0.0,726.89
2020-01-05 14:00:00+02:00,37.81,7.28,98.18,10.0,156.0,0.0,383.0,483.36,0.0,0.0,732.17
2020-01-05 15:00:00+02:00,37.73,5.72,87.38,2.0,126.0,0.0,385.5,483.46,0.0,0.0,732.4
2020-01-05 16:00:00+02:00,37.69,1.0,76.66,0.0,102.0,0.0,423.0,483.38,0.0,0.0,732.31
2020-01-05 17:00:00+02:00,39.83,0.0,71.8,0.0,89.0,0.0,482.0,483.24,0.0,0.0,732.13
2020-01-05 18:00:00+02:00,40.07,0.0,58.56,0.0,84.0,0.0,479.0,483.21,0.0,0.0,732.17
2020-01-05 19:00:00+02:00,40.05,0.0,61.27,0.0,85.0,0.0,436.0,483.24,0.0,0.0,732.2
2020-01-05 20:00:00+02:00,42.33,0.0,83.27,0.0,103.0,0.0,401.0,483.36,0.0,0.0,732.28
2020-01-05 21:00:00+02:00,36.77,0.0,118.6,0.0,143.0,0.0,248.5,483.45,0.0,0.0,732.44
2020-01-05 22:00:00+02:00,33.09,0.0,164.74,0.0,188.0,0.0,162.0,483.31,0.0,0.0,718.51
2020-01-05 23:00:00+02:00,28.16,0.0,237.1,0.0,229.0,0.0,227.5,483.32,0.0,0.0,224.94
2020-01-06 00:00:00+02:00,26.68,0.0,298.67,0.0,268.0,0.0,371.0,478.2,0.0,0.0,23.33
2020-01-06 01:00:00+02:00,26.42,0.0,317.96,0.0,284.0,0.0,40.0,11.7,0.0,0.0,175.37
2020-01-06 02:00:00+02:00,26.5,0.0,314.41,0.0,304.0,0.0,97.5,0.0,0.0,0.0,138.7
2020-01-06 03:00:00+02:00,27.01,0.0,326.63,0.0,327.0,0.0,159.0,0.0,0.0,0.0,83.39
2020-01-06 04:00:00+02:00,27.06,0.0,324.2,0.0,341.0,0.0,187.5,0.0,0.0,0.0,4.6
2020-01-06 05:00:00+02:00,27.03,0.0,318.51,0.0,342.0,0.0,148.0,0.0,0.0,0.0,191.08
2020-01-06 06:00:00+02:00,27.62,0.0,318.97,0.0,342.0,0.0,140.5,0.0,0.0,0.0,243.72
2020-01-06 07:00:00+02:00,28.16,0.0,302.15,0.0,339.0,0.0,157.5,0.62,0.0,0.0,524.33
2020-01-06 08:00:00+02:00,29.08,0.0,260.54,0.0,325.0,0.0,413.5,146.19,0.0,0.0,371.49
2020-01-06 09:00:00+02:00,29.73,0.0,263.63,0.0,311.0,0.0,484.5,297.83,0.0,0.0,535.87
2020-01-06 10:00:00+02:00,30.52,1.0,256.8,2.0,293.0,0.0,533.0,301.12,0.0,0.0,511.42
2020-01-06 11:00:00+02:00,31.12,2.0,225.87,2.0,279.0,0.0,528.0,480.71,0.0,0.0,719.2
2020-01-06 12:00:00+02:00,31.23,2.0,190.33,2.0,264.0,0.0,558.0,484.12,0.0,0.0,683.18
2020-01-06 13:00:00+02:00,31.19,2.0,182.69,2.0,239.0,0.0,494.5,468.37,0.0,0.0,731.65
2020-01-06 14:00:00+02:00,31.08,2.0,154.89,2.0,215.0,0.0,507.5,454.57,0.0,0.0,732.36
2020-01-06 15:00:00+02:00,31.21,1.0,138.38,0.0,198.0,0.0,511.5,400.7,0.0,0.0,732.22
2020-01-06 16:00:00+02:00,34.01,0.0,137.04,0.0,179.0,0.0,459.5,358.74,0.0,0.0,732.19
2020-01-06 17:00:00+02:00,33.58,0.0,140.89,0.0,172.0,0.0,432.0,397.9,0.0,0.0,732.34
2020-01-06 18:00:00+02:00,34.05,0.0,144.33,0.0,175.0,0.0,536.5,483.12,0.0,0.0,556.83
2020-01-06 19:00:00+02:00,31.31,0.0,130.13,0.0,179.0,0.0,548.5,485.11,0.0,0.0,582.49
2020-01-06 20:00:00+02:00,34.05,0.0,147.2,0.0,181.0,0.0,449.0,485.3,0.0,0.0,732.14
2020-01-06 21:00:00+02:00,34.0,0.0,137.12,0.0,176.0,0.0,441.5,468.54,0.0,0.0,732.16
2020-01-06 22:00:00+02:00,30.28,0.0,152.84,0.0,174.0,0.0,277.0,470.8,0.0,0.0,693.28
2020-01-06 23:00:00+02:00,29.46,0.0,150.68,0.0,172.0,0.0,456.5,485.63,0.0,0.0,129.95
